Delivery Start,EFA,Cleared Volume,Brent Oil,EU Gas,Ofgem Weekly Electricity Price,Ofgem Monthly Electricity Price,Ofgem Monthly Gas Price,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,price
2022-06-22 15:00:00,5,618,115.54,308.9,245.55,173.11,149.49,30993.125,30933.14583333333,59.97916666666788,2,1,-0.9680771188662041,-0.2506525322587213,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,0.9749279121818236,-0.22252093395631434,69.95
2022-06-22 19:00:00,6,628,115.54,308.9,245.55,173.11,149.49,30466.125,30528.229166666668,-62.10416666666788,2,1,-0.9680771188662041,-0.2506525322587213,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,29.99
2022-06-22 23:00:00,1,857,114.5,302.8,245.55,173.11,149.49,26390.75,26408.229166666668,-17.47916666666788,3,1,-0.9680771188662041,-0.2506525322587213,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,4.48
2022-06-23 03:00:00,2,880,114.5,302.8,245.55,173.11,149.49,27165.75,27094.166666666668,71.58333333333212,3,1,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,4.07
2022-06-23 07:00:00,3,829,114.5,302.8,245.55,173.11,149.49,30602.0,30616.77083333333,-14.77083333333212,3,1,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,16.0
2022-06-23 11:00:00,4,836,114.5,302.8,245.55,173.11,149.49,30255.0,30238.604166666668,16.39583333333212,3,1,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,6.82
2022-06-23 15:00:00,5,661,114.5,302.8,245.55,173.11,149.49,31966.25,31958.541666666668,7.708333333332121,3,1,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,50.0
2022-06-23 19:00:00,6,673,114.5,302.8,245.55,173.11,149.49,30065.625,30125.95833333333,-60.33333333333212,3,1,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,39.8
2022-06-23 23:00:00,1,854,117.36,309.0,245.55,173.11,149.49,25643.5,25649.58333333333,-6.083333333332121,4,1,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,5.07
2022-06-24 03:00:00,2,931,117.36,309.0,245.55,173.11,149.49,26765.5,26716.791666666668,48.70833333333212,4,1,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,41.75
2022-06-24 07:00:00,3,814,117.36,309.0,245.55,173.11,149.49,30715.125,30709.916666666668,5.208333333332121,4,1,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,18.48
2022-06-24 11:00:00,4,835,117.36,309.0,245.55,173.11,149.49,29584.125,29603.875,-19.75,4,1,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,7.95
2022-06-24 15:00:00,5,712,117.36,309.0,245.55,173.11,149.49,30846.625,30805.52083333333,41.10416666666788,4,1,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,-0.433883739117558,-0.9009688679024191,39.95
2022-06-24 19:00:00,6,682,117.36,309.0,245.55,173.11,149.49,28787.0,28889.77083333333,-102.77083333333212,4,1,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,59.95
2022-06-24 23:00:00,1,903,117.36,309.0,245.55,173.11,149.49,23756.25,23788.14583333333,-31.89583333333212,5,0,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,59.95
2022-06-25 03:00:00,2,942,117.36,309.0,245.55,173.11,149.49,23671.375,23661.52083333333,9.85416666666788,5,0,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,61.0
2022-06-25 07:00:00,3,948,117.36,309.0,245.55,173.11,149.49,23552.125,23586.25,-34.125,5,0,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,89.95
2022-06-25 11:00:00,4,956,117.36,309.0,245.55,173.11,149.49,22172.125,22183.041666666668,-10.91666666666788,5,0,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818235,-0.2225209339563146,69.95
2022-06-25 15:00:00,5,792,117.36,309.0,245.55,173.11,149.49,25850.875,25775.416666666668,75.45833333333212,5,0,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,-0.9749279121818235,-0.2225209339563146,105.0
2022-06-25 19:00:00,6,715,117.36,309.0,245.55,173.11,149.49,26684.875,26757.166666666668,-72.29166666666788,5,0,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.9749279121818235,-0.2225209339563146,79.8
2022-06-25 23:00:00,1,931,117.36,309.0,245.55,173.11,149.49,23323.25,23359.375,-36.125,6,0,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,65.0
2022-06-26 03:00:00,2,942,117.36,309.0,245.55,173.11,149.49,22083.375,22105.729166666668,-22.35416666666788,6,0,-0.848644257494751,0.5289640103269624,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,59.0
2022-06-26 07:00:00,3,942,117.36,309.0,245.55,173.11,149.49,21570.375,21556.64583333333,13.72916666666788,6,0,-0.848644257494751,0.5289640103269624,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,70.0
2022-06-26 11:00:00,4,952,117.36,309.0,245.55,173.11,149.49,23090.125,23065.83333333333,24.29166666666788,6,0,-0.848644257494751,0.5289640103269624,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,68.3
2022-06-26 15:00:00,5,783,117.36,309.0,245.55,173.11,149.49,26443.125,26409.041666666668,34.08333333333212,6,0,-0.848644257494751,0.5289640103269624,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,-0.7818314824680299,0.6234898018587334,79.7
2022-06-26 19:00:00,6,745,117.36,309.0,245.55,173.11,149.49,27000.375,27015.854166666668,-15.47916666666788,6,0,-0.848644257494751,0.5289640103269624,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,83.1
2022-06-26 23:00:00,1,932,119.69,312.7,257.99,173.11,149.49,23918.0,23950.5,-32.5,0,1,-0.848644257494751,0.5289640103269624,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.0,1.0,39.8
2022-06-27 03:00:00,2,942,119.69,312.7,257.99,173.11,149.49,24758.5,24694.541666666668,63.95833333333212,0,1,-0.72479278722912,0.6889669190756864,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,0.0,1.0,57.8
2022-06-27 07:00:00,3,945,119.69,312.7,257.99,173.11,149.49,29712.75,29676.625,36.125,0,1,-0.72479278722912,0.6889669190756864,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.0,1.0,78.96
2022-06-27 11:00:00,4,952,119.69,312.7,257.99,173.11,149.49,28838.125,28847.95833333333,-9.83333333333212,0,1,-0.72479278722912,0.6889669190756864,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,55.0
2022-06-27 15:00:00,5,722,119.69,312.7,257.99,173.11,149.49,30213.25,30214.541666666668,-1.291666666667879,0,1,-0.72479278722912,0.6889669190756864,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,0.0,1.0,95.96
