date,EFA,Cleared Volume,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,Average Temperature,price
2022-03-31 23:00:00,1,514,10.1875,4,1,-2.4492935982947064e-16,1.0,0.375,1.7
2022-04-01 03:00:00,2,507,157.58333333333212,4,1,0.20129852008866,0.9795299412524944,0.5,8.96
2022-04-01 07:00:00,3,495,-46.52083333333576,4,1,0.20129852008866,0.9795299412524944,2.0,4.89
2022-04-01 11:00:00,4,514,-8.541666666664241,4,1,0.20129852008866,0.9795299412524944,3.5,1.5
2022-04-01 15:00:00,5,508,75.89583333333576,4,1,0.20129852008866,0.9795299412524944,3.375,47.99
2022-04-01 19:00:00,6,326,-142.14583333333576,4,1,0.20129852008866,0.9795299412524944,1.5,1.13
2022-04-01 23:00:00,1,334,-27.33333333333212,5,0,0.20129852008866,0.9795299412524944,0.75,0.56
2022-04-02 03:00:00,2,370,74.91666666666788,5,0,0.3943558551133185,0.9189578116202306,0.875,3.0
2022-04-02 07:00:00,3,430,-15.47916666666788,5,0,0.3943558551133185,0.9189578116202306,2.0,1.2
2022-04-02 11:00:00,4,468,-16.29166666666788,5,0,0.3943558551133185,0.9189578116202306,4.25,1.5
2022-04-02 15:00:00,5,555,74.97916666666788,5,0,0.3943558551133185,0.9189578116202306,4.125,12.11
2022-04-02 19:00:00,6,426,-126.6875,5,0,0.3943558551133185,0.9189578116202306,1.5,2.0
2022-04-02 23:00:00,1,335,-12.8125,6,0,0.3943558551133185,0.9189578116202306,0.75,0.55
2022-04-03 03:00:00,2,412,65.89583333333212,6,0,0.5712682150947923,0.8207634412072763,1.5,2.88
2022-04-03 07:00:00,3,509,6.458333333332121,6,0,0.5712682150947923,0.8207634412072763,4.5,1.49
2022-04-03 11:00:00,4,576,26.54166666666788,6,0,0.5712682150947923,0.8207634412072763,5.625,1.86
2022-04-03 15:00:00,5,541,91.8125,6,0,0.5712682150947923,0.8207634412072763,5.75,47.98
2022-04-03 19:00:00,6,461,-223.8125,6,0,0.5712682150947923,0.8207634412072763,5.0,4.24
2022-04-03 23:00:00,1,584,18.45833333333212,0,1,0.5712682150947923,0.8207634412072763,6.125,2.2
2022-04-04 03:00:00,2,631,167.54166666666788,0,1,0.7247927872291199,0.6889669190756866,7.0,16.48
2022-04-04 07:00:00,3,416,20.64583333333576,0,1,0.7247927872291199,0.6889669190756866,8.5,5.0
2022-04-04 11:00:00,4,486,-13.47916666666424,0,1,0.7247927872291199,0.6889669190756866,9.25,1.86
2022-04-04 15:00:00,5,519,38.16666666666424,0,1,0.7247927872291199,0.6889669190756866,9.5,60.0
2022-04-04 19:00:00,6,497,-191.5833333333321,0,1,0.7247927872291199,0.6889669190756866,9.5,3.61
2022-04-04 23:00:00,1,638,-9.375,1,1,0.7247927872291199,0.6889669190756866,8.75,5.1
2022-04-05 03:00:00,2,630,162.47916666666788,1,1,0.8486442574947509,0.5289640103269625,8.375,26.28
2022-04-05 07:00:00,3,551,-20.54166666666424,1,1,0.8486442574947509,0.5289640103269625,8.0,10.0
2022-04-05 11:00:00,4,583,-19.64583333333212,1,1,0.8486442574947509,0.5289640103269625,8.0,2.98
2022-04-05 15:00:00,5,496,55.39583333333576,1,1,0.8486442574947509,0.5289640103269625,8.0,70.0
2022-04-05 19:00:00,6,631,-159.33333333333212,1,1,0.8486442574947509,0.5289640103269625,8.0,55.0
2022-04-05 23:00:00,1,743,-8.72916666666788,2,1,0.8486442574947509,0.5289640103269625,7.625,37.0
2022-04-06 03:00:00,2,743,176.08333333333212,2,1,0.9377521321470804,0.3473052528448203,7.25,51.0
2022-04-06 07:00:00,3,659,-6.479166666664241,2,1,0.9377521321470804,0.3473052528448203,6.5,89.0
2022-04-06 11:00:00,4,697,-37.66666666666788,2,1,0.9377521321470804,0.3473052528448203,7.625,85.0
2022-04-06 15:00:00,5,516,91.45833333333576,2,1,0.9377521321470804,0.3473052528448203,7.75,103.0
2022-04-06 19:00:00,6,635,-186.5208333333321,2,1,0.9377521321470804,0.3473052528448203,7.0,79.99
