date,EFA,Cleared Volume,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,Average Temperature,price
2021-10-31 23:00:00,1,411,-334.8333333333321,0,1,-2.4492935982947064e-16,1.0,7.125,17.0
2021-11-01 03:00:00,2,411,2129.1875,0,1,0.20129852008866,0.9795299412524944,7.125,17.0
2021-11-01 07:00:00,3,473,583.8541666666679,0,1,0.20129852008866,0.9795299412524944,7.5,17.0
2021-11-01 11:00:00,4,473,875.1666666666642,0,1,0.20129852008866,0.9795299412524944,7.875,17.0
2021-11-01 15:00:00,5,350,870.4583333333358,0,1,0.20129852008866,0.9795299412524944,7.625,16.9
2021-11-01 19:00:00,6,340,-3195.708333333336,0,1,0.20129852008866,0.9795299412524944,6.5,14.9
2021-11-01 23:00:00,1,264,-682.375,1,1,0.20129852008866,0.9795299412524944,5.75,16.99
2021-11-02 03:00:00,2,264,2590.8125,1,1,0.3943558551133185,0.9189578116202306,5.875,16.99
2021-11-02 07:00:00,3,85,-42.0,1,1,0.3943558551133185,0.9189578116202306,7.0,1.92
2021-11-02 11:00:00,4,86,499.4791666666642,1,1,0.3943558551133185,0.9189578116202306,7.75,1.58
2021-11-02 15:00:00,5,107,870.3541666666642,1,1,0.3943558551133185,0.9189578116202306,7.25,47.99
2021-11-02 19:00:00,6,217,-3322.0,1,1,0.3943558551133185,0.9189578116202306,5.0,10.18
2021-11-02 23:00:00,1,352,-383.0625,2,1,0.3943558551133185,0.9189578116202306,5.375,16.99
2021-11-03 03:00:00,2,352,2674.645833333332,2,1,0.5712682150947923,0.8207634412072763,5.875,16.99
2021-11-03 07:00:00,3,61,348.3125,2,1,0.5712682150947923,0.8207634412072763,7.0,1.24
2021-11-03 11:00:00,4,54,341.02083333333576,2,1,0.5712682150947923,0.8207634412072763,7.0,1.45
2021-11-03 15:00:00,5,159,257.64583333333576,2,1,0.5712682150947923,0.8207634412072763,6.625,7.27
2021-11-03 19:00:00,6,447,-3624.479166666664,2,1,0.5712682150947923,0.8207634412072763,5.5,39.99
2021-11-03 23:00:00,1,364,-475.8333333333321,3,1,0.5712682150947923,0.8207634412072763,5.125,16.99
2021-11-04 03:00:00,2,364,2950.875,3,1,0.7247927872291199,0.6889669190756866,5.125,16.99
2021-11-04 07:00:00,3,349,156.89583333333576,3,1,0.7247927872291199,0.6889669190756866,5.5,5.0
2021-11-04 11:00:00,4,69,626.9375,3,1,0.7247927872291199,0.6889669190756866,4.75,3.0
2021-11-04 15:00:00,5,166,798.125,3,1,0.7247927872291199,0.6889669190756866,3.875,5.4
2021-11-04 19:00:00,6,427,-3533.5,3,1,0.7247927872291199,0.6889669190756866,2.0,9.48
2021-11-04 23:00:00,1,361,-540.8541666666679,4,1,0.7247927872291199,0.6889669190756866,2.375,16.99
2021-11-05 03:00:00,2,361,2605.979166666668,4,1,0.8486442574947509,0.5289640103269625,3.625,16.99
2021-11-05 07:00:00,3,280,268.77083333333576,4,1,0.8486442574947509,0.5289640103269625,7.0,6.3
2021-11-05 11:00:00,4,59,335.0,4,1,0.8486442574947509,0.5289640103269625,8.5,1.75
