date,EFA,Cleared Volume,EU Gas,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,Average Temperature,price
2022-04-04 03:00:00,2,631,319.2,27629.75,27462.20833333333,167.54166666666788,0,1,0.7247927872291199,0.6889669190756866,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.0,1.0,7.25,16.48
2022-04-04 07:00:00,3,416,319.2,36154.625,36133.97916666666,20.64583333333576,0,1,0.7247927872291199,0.6889669190756866,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.0,1.0,8.5,5.0
2022-04-04 11:00:00,4,486,319.2,34751.125,34764.604166666664,-13.47916666666424,0,1,0.7247927872291199,0.6889669190756866,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.0,1.0,9.5,1.86
2022-04-04 15:00:00,5,519,319.2,36218.875,36180.708333333336,38.16666666666424,0,1,0.7247927872291199,0.6889669190756866,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.0,1.0,10.0,60.0
2022-04-04 19:00:00,6,497,319.2,30811.375,31002.95833333333,-191.5833333333321,0,1,0.7247927872291199,0.6889669190756866,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.0,1.0,9.0,3.61
2022-04-04 23:00:00,1,638,322.9,24147.625,24157.0,-9.375,1,1,0.7247927872291199,0.6889669190756866,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,8.666666666666666,5.1
2022-04-05 03:00:00,2,630,322.9,27685.25,27522.77083333333,162.47916666666788,1,1,0.8486442574947509,0.5289640103269625,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,8.25,26.28
2022-04-05 07:00:00,3,551,322.9,34197.625,34218.166666666664,-20.54166666666424,1,1,0.8486442574947509,0.5289640103269625,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,8.0,10.0
2022-04-05 11:00:00,4,583,322.9,31827.0,31846.64583333333,-19.64583333333212,1,1,0.8486442574947509,0.5289640103269625,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.7818314824680297,0.6234898018587336,8.0,2.98
2022-04-05 15:00:00,5,496,322.9,34772.125,34716.729166666664,55.39583333333576,1,1,0.8486442574947509,0.5289640103269625,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.7818314824680297,0.6234898018587336,8.0,70.0
2022-04-05 19:00:00,6,631,322.9,30339.625,30498.95833333333,-159.33333333333212,1,1,0.8486442574947509,0.5289640103269625,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.7818314824680297,0.6234898018587336,8.0,55.0
2022-04-05 23:00:00,1,743,321.5,24170.375,24179.104166666668,-8.72916666666788,2,1,0.8486442574947509,0.5289640103269625,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,8.0,37.0
2022-04-06 03:00:00,2,743,321.5,26518.0,26341.916666666668,176.08333333333212,2,1,0.9377521321470804,0.3473052528448203,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,7.75,51.0
2022-04-06 07:00:00,3,659,321.5,33386.5,33392.979166666664,-6.479166666664241,2,1,0.9377521321470804,0.3473052528448203,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,6.666666666666667,89.0
