date,EFA,Cleared Volume,EU Gas,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,Average Temperature,price
2022-06-03 03:00:00,2,780,347.8,25196.125,25170.916666666668,25.20833333333212,4,1,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,10.666666666666668,2.49
2022-06-03 07:00:00,3,834,347.8,26497.0,26507.8125,-10.8125,4,1,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,10.333333333333332,54.9
2022-06-03 11:00:00,4,888,347.8,26253.375,26234.77083333333,18.60416666666788,4,1,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,10.0,44.49
2022-06-03 15:00:00,5,721,347.8,28919.125,28872.14583333333,46.97916666666788,4,1,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,-0.433883739117558,-0.9009688679024191,9.77777777777778,39.9
2022-06-03 19:00:00,6,640,347.8,28494.75,28574.02083333333,-79.27083333333212,4,1,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,9.444444444444445,49.9
2022-06-03 23:00:00,1,745,347.8,23154.125,23176.6875,-22.5625,5,0,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,9.11111111111111,39.9
2022-06-04 03:00:00,2,795,347.8,22747.375,22716.77083333333,30.60416666666788,5,0,0.7247927872291199,0.6889669190756866,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,9.25,39.9
2022-06-04 07:00:00,3,880,347.8,25150.75,25138.64583333333,12.10416666666788,5,0,0.7247927872291199,0.6889669190756866,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,10.0,59.49
2022-06-04 11:00:00,4,891,347.8,24018.75,24045.0,-26.25,5,0,0.7247927872291199,0.6889669190756866,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,11.125,54.9
2022-06-04 15:00:00,5,730,347.8,26971.625,26910.64583333333,60.97916666666788,5,0,0.7247927872291199,0.6889669190756866,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,-0.9749279121818236,-0.2225209339563146,11.125,69.9
