date,EFA,Cleared Volume,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,price
2022-06-22 15:00:00,5,618,59.97916666666788,2,1,-0.9680771188662041,-0.2506525322587213,69.95
2022-06-22 19:00:00,6,628,-62.10416666666788,2,1,-0.9680771188662041,-0.2506525322587213,29.99
2022-06-22 23:00:00,1,857,-17.47916666666788,3,1,-0.9680771188662041,-0.2506525322587213,4.48
2022-06-23 03:00:00,2,880,71.58333333333212,3,1,-0.9987165071710528,-0.05064916883871355,4.07
2022-06-23 07:00:00,3,829,-14.77083333333212,3,1,-0.9987165071710528,-0.05064916883871355,16.0
2022-06-23 11:00:00,4,836,16.39583333333212,3,1,-0.9987165071710528,-0.05064916883871355,6.82
2022-06-23 15:00:00,5,661,7.708333333332121,3,1,-0.9987165071710528,-0.05064916883871355,50.0
2022-06-23 19:00:00,6,673,-60.33333333333212,3,1,-0.9987165071710528,-0.05064916883871355,39.8
2022-06-23 23:00:00,1,854,-6.083333333332121,4,1,-0.9987165071710528,-0.05064916883871355,5.07
2022-06-24 03:00:00,2,931,48.70833333333212,4,1,-0.9884683243281114,0.15142777750457667,41.75
2022-06-24 07:00:00,3,814,5.208333333332121,4,1,-0.9884683243281114,0.15142777750457667,18.48
2022-06-24 11:00:00,4,835,-19.75,4,1,-0.9884683243281114,0.15142777750457667,7.95
2022-06-24 15:00:00,5,712,41.10416666666788,4,1,-0.9884683243281114,0.15142777750457667,39.95
2022-06-24 19:00:00,6,682,-102.77083333333212,4,1,-0.9884683243281114,0.15142777750457667,59.95
2022-06-24 23:00:00,1,903,-31.89583333333212,5,0,-0.9884683243281114,0.15142777750457667,59.95
2022-06-25 03:00:00,2,942,9.85416666666788,5,0,-0.9377521321470804,0.3473052528448203,61.0
2022-06-25 07:00:00,3,948,-34.125,5,0,-0.9377521321470804,0.3473052528448203,89.95
2022-06-25 11:00:00,4,956,-10.91666666666788,5,0,-0.9377521321470804,0.3473052528448203,69.95
2022-06-25 15:00:00,5,792,75.45833333333212,5,0,-0.9377521321470804,0.3473052528448203,105.0
2022-06-25 19:00:00,6,715,-72.29166666666788,5,0,-0.9377521321470804,0.3473052528448203,79.8
2022-06-25 23:00:00,1,931,-36.125,6,0,-0.9377521321470804,0.3473052528448203,65.0
2022-06-26 03:00:00,2,942,-22.35416666666788,6,0,-0.848644257494751,0.5289640103269624,59.0
2022-06-26 07:00:00,3,942,13.72916666666788,6,0,-0.848644257494751,0.5289640103269624,70.0
2022-06-26 11:00:00,4,952,24.29166666666788,6,0,-0.848644257494751,0.5289640103269624,68.3
2022-06-26 15:00:00,5,783,34.08333333333212,6,0,-0.848644257494751,0.5289640103269624,79.7
2022-06-26 19:00:00,6,745,-15.47916666666788,6,0,-0.848644257494751,0.5289640103269624,83.1
2022-06-26 23:00:00,1,932,-32.5,0,1,-0.848644257494751,0.5289640103269624,39.8
2022-06-27 03:00:00,2,942,63.95833333333212,0,1,-0.72479278722912,0.6889669190756864,57.8
2022-06-27 07:00:00,3,945,36.125,0,1,-0.72479278722912,0.6889669190756864,78.96
2022-06-27 11:00:00,4,952,-9.83333333333212,0,1,-0.72479278722912,0.6889669190756864,55.0
2022-06-27 15:00:00,5,722,-1.291666666667879,0,1,-0.72479278722912,0.6889669190756864,95.96
2022-06-27 19:00:00,6,713,-48.22916666666788,0,1,-0.72479278722912,0.6889669190756864,60.8
2022-06-27 23:00:00,1,794,-12.9375,1,1,-0.72479278722912,0.6889669190756864,2.95
2022-06-28 03:00:00,2,931,69.0,1,1,-0.5712682150947924,0.8207634412072763,4.22
2022-06-28 07:00:00,3,957,-12.20833333333212,1,1,-0.5712682150947924,0.8207634412072763,64.7
2022-06-28 11:00:00,4,967,-14.27083333333212,1,1,-0.5712682150947924,0.8207634412072763,55.0
2022-06-28 15:00:00,5,736,6.541666666667879,1,1,-0.5712682150947924,0.8207634412072763,67.7
2022-06-28 19:00:00,6,729,-64.72916666666788,1,1,-0.5712682150947924,0.8207634412072763,56.96
2022-06-28 23:00:00,1,940,-23.6875,2,1,-0.5712682150947924,0.8207634412072763,29.95
2022-06-29 03:00:00,2,956,65.0,2,1,-0.3943558551133187,0.9189578116202306,39.95
2022-06-29 07:00:00,3,919,12.58333333333212,2,1,-0.3943558551133187,0.9189578116202306,59.95
2022-06-29 11:00:00,4,925,1.0,2,1,-0.3943558551133187,0.9189578116202306,49.95
2022-06-29 15:00:00,5,765,-17.54166666666788,2,1,-0.3943558551133187,0.9189578116202306,65.6
2022-06-29 19:00:00,6,690,-44.1875,2,1,-0.3943558551133187,0.9189578116202306,62.95
2022-06-29 23:00:00,1,824,-10.77083333333212,3,1,-0.3943558551133187,0.9189578116202306,19.95
2022-06-30 03:00:00,2,774,44.22916666666788,3,1,-0.20129852008866117,0.9795299412524943,39.95
2022-06-30 07:00:00,3,783,6.5,3,1,-0.20129852008866117,0.9795299412524943,65.8
2022-06-30 11:00:00,4,858,21.04166666666788,3,1,-0.20129852008866117,0.9795299412524943,9.28
2022-06-30 15:00:00,5,733,15.91666666666788,3,1,-0.20129852008866117,0.9795299412524943,66.9
2022-06-30 19:00:00,6,729,-76.125,3,1,-0.20129852008866117,0.9795299412524943,67.96
2022-06-30 23:00:00,1,880,-14.875,4,1,-0.20129852008866117,0.9795299412524943,4.99
2022-07-01 03:00:00,2,889,51.83333333333212,4,1,0.20129852008866006,0.9795299412524945,4.88
2022-07-01 07:00:00,3,855,0.9166666666678792,4,1,0.20129852008866006,0.9795299412524945,10.6
2022-07-01 11:00:00,4,833,-15.22916666666788,4,1,0.20129852008866006,0.9795299412524945,39.95
2022-07-01 15:00:00,5,860,21.5625,4,1,0.20129852008866006,0.9795299412524945,11.82
2022-07-01 19:00:00,6,755,-64.0,4,1,0.20129852008866006,0.9795299412524945,3.62
2022-07-01 23:00:00,1,909,-10.58333333333212,5,0,0.20129852008866006,0.9795299412524945,24.95
2022-07-02 03:00:00,2,949,6.395833333332121,5,0,0.39435585511331855,0.9189578116202306,39.95
2022-07-02 07:00:00,3,983,15.85416666666788,5,0,0.39435585511331855,0.9189578116202306,50.0
2022-07-02 11:00:00,4,963,-12.25,5,0,0.39435585511331855,0.9189578116202306,55.0
2022-07-02 15:00:00,5,889,57.8125,5,0,0.39435585511331855,0.9189578116202306,69.1
2022-07-02 19:00:00,6,853,-72.33333333333212,5,0,0.39435585511331855,0.9189578116202306,59.95
2022-07-02 23:00:00,1,830,-46.1875,6,0,0.39435585511331855,0.9189578116202306,39.96
2022-07-03 03:00:00,2,943,-8.25,6,0,0.5712682150947923,0.8207634412072763,44.95
2022-07-03 07:00:00,3,936,51.52083333333212,6,0,0.5712682150947923,0.8207634412072763,57.96
2022-07-03 11:00:00,4,993,0.3125,6,0,0.5712682150947923,0.8207634412072763,68.13
2022-07-03 15:00:00,5,891,89.4375,6,0,0.5712682150947923,0.8207634412072763,74.95
2022-07-03 19:00:00,6,709,-81.25,6,0,0.5712682150947923,0.8207634412072763,74.95
2022-07-03 23:00:00,1,858,7.416666666667879,0,1,0.5712682150947923,0.8207634412072763,49.95
